5.1248 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
6.9910 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002C77AD80E50>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002C77AD80DF0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002C77AD80C10>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002C77B0D47F0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.9910 	EXP 	window1: mouseVisible = True
6.9910 	EXP 	window1: backgroundImage = ''
6.9910 	EXP 	window1: backgroundFit = 'none'
6.9919 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.9919 	EXP 	window1: recordFrameIntervals = False
7.0573 	EXP 	window1: recordFrameIntervals = True
7.1240 	EXP 	Screen (0) actual frame rate measured at 165.05Hz
7.1240 	EXP 	window1: recordFrameIntervals = False
7.1242 	EXP 	window1: mouseVisible = False
9.8402 	EXP 	posner-auto-counter: status = STARTED
9.8405 	EXP 	window1: mouseVisible = True
9.8509 	EXP 	Created cue = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='cue', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
9.8510 	EXP 	window1: mouseVisible = True
9.8785 	EXP 	Created target = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='target.png', interpolate=True, mask=None, maskParams=None, name='target', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
9.8786 	EXP 	window1: mouseVisible = True
0.0122 	EXP 	Imported groupB_blocks.xlsx as conditions, 2 conditions, 1 params
0.0125 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
0.0126 	EXP 	New trial (rep=0, index=0): {'blockfile': 'invalid_conditions.xlsx'}
0.0155 	EXP 	Imported invalid_conditions.xlsx as conditions, 4 conditions, 3 params
0.0158 	EXP 	Created sequence: random, trialTypes=4, nReps=2, seed=None
0.0159 	EXP 	New trial (rep=0, index=0): {'cue_file': 'cue_right.png', 'target_x': -0.5, 'is_valid': 'invalid'}
0.4829 	EXP 	cue: image = 'cue_right.png'
0.4829 	EXP 	cue: autoDraw = True
0.7124 	EXP 	target: autoDraw = True
1.1840 	EXP 	cue: autoDraw = False
1.2223 	DATA 	Mouse: Left button down, pos=(415,575)
1.2336 	EXP 	New trial (rep=0, index=1): {'cue_file': 'cue_left.png', 'target_x': 0.5, 'is_valid': 'invalid'}
1.6207 	DATA 	Mouse:  Left button up, pos=(415,575)
1.6367 	EXP 	cue: autoDraw = False
1.6367 	EXP 	target: autoDraw = False
1.6367 	EXP 	cue: image = 'cue_left.png'
1.6367 	EXP 	cue: autoDraw = True
1.9366 	EXP 	target: autoDraw = True
2.3353 	EXP 	cue: autoDraw = False
2.3477 	DATA 	Mouse: Left button down, pos=(1479,654)
2.3485 	EXP 	New trial (rep=0, index=2): {'cue_file': 'cue_left.png', 'target_x': 0.5, 'is_valid': 'invalid'}
2.7385 	DATA 	Mouse:  Left button up, pos=(1479,654)
2.7595 	EXP 	cue: autoDraw = False
2.7595 	EXP 	target: autoDraw = False
2.7595 	EXP 	cue: image = 'cue_left.png'
2.7595 	EXP 	cue: autoDraw = True
3.0514 	EXP 	target: autoDraw = True
3.4623 	EXP 	cue: autoDraw = False
3.5233 	DATA 	Mouse: Left button down, pos=(1251,533)
3.5240 	EXP 	New trial (rep=0, index=3): {'cue_file': 'cue_right.png', 'target_x': -0.5, 'is_valid': 'invalid'}
3.8739 	DATA 	Mouse:  Left button up, pos=(1251,533)
3.8885 	EXP 	cue: autoDraw = False
3.8885 	EXP 	target: autoDraw = False
3.8885 	EXP 	cue: image = 'cue_right.png'
3.8885 	EXP 	cue: autoDraw = True
4.2269 	EXP 	target: autoDraw = True
4.5895 	EXP 	cue: autoDraw = False
4.6806 	DATA 	Mouse: Left button down, pos=(447,536)
4.6814 	EXP 	New trial (rep=1, index=0): {'cue_file': 'cue_left.png', 'target_x': 0.5, 'is_valid': 'invalid'}
5.0699 	DATA 	Mouse:  Left button up, pos=(447,536)
5.0842 	EXP 	cue: autoDraw = False
5.0842 	EXP 	target: autoDraw = False
5.0842 	EXP 	cue: image = 'cue_left.png'
5.0842 	EXP 	cue: autoDraw = True
5.3843 	EXP 	target: autoDraw = True
5.7603 	DATA 	Mouse: Left button down, pos=(1608,588)
5.7610 	EXP 	New trial (rep=1, index=1): {'cue_file': 'cue_right.png', 'target_x': -0.5, 'is_valid': 'invalid'}
6.1116 	DATA 	Mouse:  Left button up, pos=(1608,588)
6.1282 	EXP 	cue: autoDraw = False
6.1282 	EXP 	target: autoDraw = False
6.1282 	EXP 	cue: image = 'cue_right.png'
6.1282 	EXP 	cue: autoDraw = True
6.4628 	EXP 	target: autoDraw = True
6.8313 	EXP 	cue: autoDraw = False
6.9405 	DATA 	Mouse: Left button down, pos=(215,594)
